[2026-07-05T00:02:37.695Z] GET https://fonts.gstatic.com/s/dmmono/v16/aFTR7PB1QTsUX8KYvumzEYOtbQ.woff2 → 200 (?ms, -815B)
[2026-07-05T00:02:37.696Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1pL7SUc.woff2 → 200 (?ms, -815B)
[2026-07-05T00:02:37.697Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7.woff2 → 200 (?ms, -814B)
[2026-07-05T00:02:37.697Z] GET https://fonts.gstatic.com/s/poppins/v24/pxiByp8kv8JHgFVrLCz7Z1xlFQ.woff2 → 200 (1ms, -814B)
[2026-07-05T00:02:37.698Z] GET https://fonts.gstatic.com/s/poppins/v24/pxiByp8kv8JHgFVrLDD4Z1xlFQ.woff2 → 200 (3ms, -814B)
[2026-07-05T00:02:37.721Z] GET http://localhost:3000/assets/icons/rg-badge-hero.svg → 200 (7ms, -358B)
[2026-07-05T00:02:37.914Z] GET http://localhost:3000/pariscore.js?v=250625-34 → 200 (159ms, -367B)
[2026-07-05T00:02:38.142Z] GET http://localhost:3000/assets/tennis-logos/map.json → pending (?ms, ?B)
[2026-07-05T00:02:38.159Z] POST http://localhost:3000/api/v1/clientside-error → 204 (107ms, ?B)
[2026-07-05T00:02:38.211Z] GET http://localhost:3000/api/v1/tennis/player-photos → 200 (55ms, 6717B)
[2026-07-05T00:02:38.211Z] GET http://localhost:3000/leagues_config.json → 200 (57ms, -361B)
[2026-07-05T00:02:38.319Z] GET https://crests.football-data.org/PL.png → 200 (?ms, -294B)
[2026-07-05T00:02:38.320Z] GET https://crests.football-data.org/PD.png → 200 (?ms, -294B)
[2026-07-05T00:02:38.322Z] GET https://crests.football-data.org/SA.png → 200 (?ms, -294B)
[2026-07-05T00:02:38.327Z] GET https://crests.football-data.org/BL1.png → 200 (?ms, -293B)
[2026-07-05T00:02:38.328Z] GET https://crests.football-data.org/FL1.png → 200 (?ms, -294B)
[2026-07-05T00:02:38.329Z] GET https://crests.football-data.org/CL.png → 200 (?ms, -293B)
[2026-07-05T00:02:38.330Z] GET https://crests.football-data.org/EL.png → 200 (?ms, -294B)
[2026-07-05T00:02:38.331Z] GET https://media.api-sports.io/football/leagues/1.png → 200 (1ms, -982B)
[2026-07-05T00:02:43.087Z] GET http://localhost:3000/api/v1/tennis/rg-live-stream → 200 (6ms, ?B)
[2026-07-05T00:10:34.434Z] GET http://localhost:3000/api/v1/tennis/rg-live-stream → pending (?ms, ?B)
[2026-07-05T00:10:39.784Z] GET http://localhost:3000/api/v1/tennis/rg-live-stream → pending (?ms, ?B)
[2026-07-05T00:10:45.139Z] GET http://localhost:3000/api/v1/tennis/rg-live-stream → pending (?ms, ?B)
[2026-07-05T00:10:50.490Z] GET http://localhost:3000/api/v1/tennis/rg-live-stream → pending (?ms, ?B)
[2026-07-05T00:10:55.847Z] GET http://localhost:3000/api/v1/tennis/rg-live-stream → pending (?ms, ?B)
[2026-07-05T00:11:01.190Z] GET http://localhost:3000/api/v1/tennis/rg-live-stream → pending (?ms, ?B)
[2026-07-05T00:11:06.547Z] GET http://localhost:3000/api/v1/tennis/rg-live-stream → pending (?ms, ?B)
[2026-07-05T00:11:11.906Z] GET http://localhost:3000/api/v1/tennis/rg-live-stream → pending (?ms, ?B)
[2026-07-05T00:11:17.256Z] GET http://localhost:3000/api/v1/tennis/rg-live-stream → pending (?ms, ?B)
[2026-07-05T00:11:22.610Z] GET http://localhost:3000/api/v1/tennis/rg-live-stream → pending (?ms, ?B)
[2026-07-05T00:11:27.951Z] GET http://localhost:3000/api/v1/tennis/rg-live-stream → pending (?ms, ?B)
[2026-07-05T00:11:33.285Z] GET http://localhost:3000/api/v1/tennis/rg-live-stream → pending (?ms, ?B)
[2026-07-05T00:11:38.639Z] GET http://localhost:3000/api/v1/tennis/rg-live-stream → pending (?ms, ?B)
[2026-07-05T00:11:44.020Z] GET http://localhost:3000/api/v1/tennis/rg-live-stream → pending (?ms, ?B)
[2026-07-05T00:11:49.380Z] GET http://localhost:3000/api/v1/tennis/rg-live-stream → pending (?ms, ?B)
[2026-07-05T00:11:54.732Z] GET http://localhost:3000/api/v1/tennis/rg-live-stream → pending (?ms, ?B)
[2026-07-05T00:12:00.090Z] GET http://localhost:3000/api/v1/tennis/rg-live-stream → pending (?ms, ?B)
[2026-07-05T00:12:05.437Z] GET http://localhost:3000/api/v1/tennis/rg-live-stream → pending (?ms, ?B)
